"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"1164.64","(1-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1175.33","(2-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1184.15","(8-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1208.41","(6-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1248.04","(4-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1300.61","(7-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1335.71","(5-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1339.33","(6-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1373.99","(3-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1382.34","(7-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"E(level)","Jπ(level)","T1/2(level)","Comments",
"1390.00","(4-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1462.83","(5-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1475.85","(3-)","","E(level): Main configuration=((π 2f7/2)(ν 2g9/2)).",
"1478.90","(9-)","","E(level): Main configuration=((π 1h9/2)(ν 1i11/2)).",
"1523.30","(4+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1531.12","(2+)","","E(level): Main configuration=((π 1i13/2)(ν 2g9/2)).",
"1585.24","(2-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"1706.54","(5+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1753.5","(10+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1776.38","(6+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1793.41","(8+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1837.06","(7+)","","E(level): Main configuration=((π 1h9/2)(ν 1j15/2)).",
"1896.84","(3+)","","E(level): Main configuration=((π 1i13/2)(ν 2g9/2)).",
"1896.93","(9-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"1924.40","(2-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"1980.33","(7-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"1984.71","(3-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"1987","","","Jπ=(11+,12+) from L=(12) in (α,d)., E(level): Jπ=(11+,12+) from L=(12) in (α,d).",
"1990.18","(3-)","","E(level): Main configuration=((π 1h9/2)(ν 3d5/2)).",
"2005.99","(8-)","","E(level): Main configuration=((π 2f7/2)(ν 1i11/2)).",
"2006.25","(4+)","","E(level): Main configuration=((π 1i13/2)(ν 2g9/2)).",
"2015.55","(6+)","","E(level): Main configuration=((π 1i13/2)(ν 2g9/2)).",
