"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels",
"4778.6","E(γ): 4782 4 in (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4795","3992","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4841.7","2183.4","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"E(level)","E(gamma)","Comments",
"4848","4848","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4914","4111","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4933.4","4933.3","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"4966","4163","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"4972.1","4972.0","E(γ): 4973 1 in (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5038.57","4235.5","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5038.5","E(γ): 5042γ in (n,n’γ)",
"5089","4286","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5128.1","5128.0","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5180","5180","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5195","5195","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5217.6","459.1","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"1190.3","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"5236.1","5236","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5247","5247","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5276","4473","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5282","5282","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5315","5315","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5350","5350","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5378.2","4576","E(γ): From (n,n’γ)",
"5378.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5390","5390","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5408.5","5408.4","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5415","4612","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5459.2","4656.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5459.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"E(level)","E(gamma)","Comments",
"5471.9","5471.8","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5513","5513","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5525.2","5525.1","E(γ): 5522 4 in (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5553.9","336.2","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"1526.6","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(9Be,α3nγ).. From 204Hg(α,2nγ).",
"5581.2","5581.1","E(γ): 5581 1 from (n,n’γ). From 206Pb(γ,γ’)., I(γ): Possible branch to the 2+ state coincides with the 4779γ (2003En07). From 206Pb(γ,γ’).",
"5602","4799","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5616.2","5616.1","E(γ): 5616 1 in (n,n’γ)",
"5694.2","5694.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5722.2","4919.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5722.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5733.4","5733.3","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5741","4938","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5762.7","5762.6","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5775","4972","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5783.1","1755.5","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"5800.6","5800.5","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5819.2","5819.1","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5832","5029","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5846.6","5846.5","E(γ): 5847 2 in (n,n’γ). From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5858.3","5858.2","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5903.7","5903.6","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5940","5936","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"5951.9","5951.8","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"5959.3","5959.2","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"E(level)","E(gamma)","Comments",
"5994","5994","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"6000.5","6000.4","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6021.6","6021.5","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6034.2","250.8","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"816.5","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"2007.3","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"6100.3","6100.2","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6110.8","5307.7","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6110.7","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6197","6197","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"6200.5","6200.4","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6236","6236","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"6251","6251","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"6260","6260","E(γ): From 206Pb(n,n’γ)., I(γ): From 206Pb(n,n’γ).",
"6410.6","6410.5","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6418.8","6418.8","E(γ): From 206Pb(γ,γ’)., I(γ): Possible branch to 1st excited state coincides with 5616γ (2003En07). From 206Pb(γ,γ’).",
"6430.7","2403.4","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"6433.8","6433.7","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6442.5","6442.4","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6469.3","6469.2","E(γ): From 205Pb(n,γ), E=thermal., I(γ): Coincides with the single-escape peak of a transition in 207Pb, contribution subtracted (approximately 50%). From 205Pb(n,γ), E=thermal.",
"6510.7","6510.6","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6565.3","531.1","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"6723.1","6723","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6820.6","5036","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"6821","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"E(level)","E(gamma)","Comments",
"6851.4+X","286.1","E(γ): From 204Hg(α,2nγ)., I(γ): From 204Hg(α,2nγ)., M(γ): From 204Hg(α,2nγ).",
"7063.1","7063","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7081.7","5615","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7078","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7127.1","7127","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7202","7202","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7311.2","6509","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7310","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7423","5963","E(γ): Original value of 5693 keV from (γ,γ’) (1980Ch22) is probably a typographical error.. From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7423","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7464.5","5760","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7464","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7487","7487","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7503.3","5798","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7506","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7570","7570","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7815.2","7815","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7846.2","7846","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7881.0","7078","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7880","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7890.6","6724","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7891","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7903","7903","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7975.7","6509","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"7972","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"E(level)","E(gamma)","Comments",
"8000.2","7202","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"8000","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",
"8040.2","8040","E(γ): From 206Pb(γ,γ’)., I(γ): From 206Pb(γ,γ’).",

